 08 F9290B5E0120FF3F  
34B 02 0000              
192 08 FFFF000000000000  
02F 08 C3200B5E0020FF3F  
0B1 08 8D0B800000FF4787  
0A3 08 79A9000000000000  
147 08 08003CFF004DF802  
098 08 C51900000000207F  
094 08 140281142A838704  
087 08 8F0A000000001038  
122 08 76BE030A7E000040  
02F 08 9D220B5E0020FF3F  
096 08 E2A3811180300000  
0A1 08 4AAA000000000000  
0A3 08 6EAA000000000000  
02F 08 8A230B5E0020FF3F  
098 08 C71A00000000207F  
094 08 CE0481152A838704  
0B3 08 253B000000070058  
071 08 0057443359463441  
02F 08 0C240B5E0020FF3F  
096 08 CDA5811680300000  
0A1 08 D1AB000000000000  
0A3 08 81AB000000000000  
02F 08 1B250B5E0020FF3F  
098 08 7E1B00000000207F  
3A4 08 0000000000000000  
077 08 010CB80BD007D407  
071 08 0139384B50303639  
02F 08 C1260B5E0020FF3F  
0B1 08 8001800000FF4787  
0A3 08 7FAC000000000000  
46B 08 00083C28004E4C84  
02F 08 D6270B5E0020FF3F  
098 08 C31C00000000207F  
087 08 D90D000000001038  
077 08 840DB80BD007D407  
02F 08 01280B5E0020FF3F  
339 08 33009200C8000000  
307 08 1F0000000F020000  
0A3 08 46AD000000000000  
2FB 08 5A1900A0072C54A0  
098 08 F71D00000000207F  
094 08 5EFA80142A838704  
087 08 9E0E000000001038  
077 08 090EB80BD007D407  
02F 08 8B2A0B5E0020FF3F  
096 08 A4AB811180300000  
0A1 08 6BAE000000000000  
335 08 DC00FF3C01000000  
02F 08 7A2B0B5E0020FF3F  
098 08 861E00000000207F  
094 08 B80C81142A838704  
077 08 970FB80BD007D407  
122 08 76BF030A7E000040  
02F 08 1A2C0B5E0020FF3F  
096 08 49AD811680300000  
0A1 08 89AF000000000000  
337 04 D2000000          
02F 08 082D0B5E0020FF3F  
098 08 4C1F00000000207F  
087 08 3200000000001038  
077 08 9B00B80BD007D407  
7E8 08 027E00AAAAAAAAAA    --Answer
31A 08 DFDC22CB03000000  
0A1 08 E7A0000000000000  
0A3 08 77A0000000000000  
401 08 2F7235F3FF330300  
098 08 281000000000207F  
14B 08 050062A08F1D0000  
03D 08 6E0300000000FFFF  
2CF 08 0200BEFF0C55F1ED  
02F 08 AA200B5EFF1FFF3F  
096 08 71A1811680300000  
0A1 08 BAA1000000000000  
0A3 08 4EA1000000000000  
02F 08 BD210B5EFF1FFF3F  
098 08 771100000000207F  
087 08 AD02000000001038  
077 08 6B02B80BD007D407  
000 08 FF000000000000C0  
490 08 FFFFF3C4FF3768FF  
307 08 1F0000000F020000  
0A3 08 D2A2000000000000  
2F5 08 D11B001000020000  
02F 08 8A230B5E0020FF3F  
098 08 751200000000207F  
087 08 7503000000001038  
34B 02 0000              
02F 08 0C240B5E0020FF3F  
096 08 CDA5811680300000  
0B1 08 090F800000FF4787  
0A3 08 75A3000000000000  
147 08 08003CFF004DF802  
098 08 CC1300000000207F  
094 08 050681142A838704  
0B3 08 2434000000070058  
122 08 76BF030A7E000040  
02F 08 C1260B5E0020FF3F  
096 08 C1A7811180300000  
0A1 08 73A4000000000000  
328 08 FF3F000000000000  
02F 08 BF270B5EFF1FFF3F  
098 08 711400000000207F  
307 08 1F0000000F020000  
077 08 8D05B80BD007D407  
187 08 FFFF000000000000  
02F 08 68280B5EFF1FFF3F  
096 08 5CA9811680300000  
0A1 08 E2A5000000000000  
0A3 08 1CA5000000000000  
02F 08 54290B5E0020FF3F  
098 08 CD1500000000207F  
087 08 BC06000000001038  
077 08 E606B80BD007D407  
02F 08 8B2A0B5E0020FF3F  
096 08 27AB811680300000  
0B1 08 2705800000FF4787  
0A3 08 95A6000000000000  
15A 08 51720000AAFF5100  
098 08 CF1600000000207F  
14B 08 050062A08F1D0000  
087 08 6407000000001038  
077 08 6607B80BD007D407  
02F 08 1A2C0B5E0020FF3F  
351 08 1090FC0F00001100  
0A1 08 A1A7000000000000  
33D 08 B70C000000380010  
3E7 01 1A                
341 08 000001BF0F93297F  
094 08 270E81142A838704  
03D 08 6D0A00000000FFFF  
192 08 FFFF000000000000  
02F 08 D72E0B5E0020FF3F  
32E 08 FF3F000000000000  
0A1 08 38A8000000000000  
0A3 08 38A8000000000000  
02F 08 262F0B5E0020FF3F  
098 08 9A1800000000207F  
087 08 C809000000001038  
122 08 76BF030A7E000040  
02F 08 C3200B5E0020FF3F  
096 08 F2A1811180300000  
1EE 08 00001F0000CCFF00  
0A3 08 79A9000000000000  
02F 08 D4210B5E0020FF3F  
369 08 4C03200000000000  
098 08 C51900000000207F  
3CE 08 7601005900974200  
077 08 6A0AB80BD007D407  
02F 08 9D220B5E0020FF3F  
096 08 E2A3811180300000  
3E8 08 FF48000001F87F00  
0A3 08 6EAA000000000000  
401 08 2F1637F3FF330300  
098 08 C71A00000000207F  
094 08 320481162A838704  
0B3 08 253B000000070058  
151 08 0E14A19420808305  
02F 08 0C240B5E0020FF3F  
096 08 CDA5811680300000  
0A1 08 D1AB000000000000  
0A3 08 81AB000000000000  
02F 08 1B250B5E0020FF3F  
098 08 7E1B00000000207F  
094 08 39F680152A838704  
077 08 010CB80BD007D407  
000 08 FF000000000000E0  
02F 08 C1260B5E0020FF3F  
096 08 42A7811680300000  
0A1 08 37AC000000000000  
0A3 08 7FAC000000000000  
02F 08 D6270B5E0020FF3F  
098 08 C31C00000000207F  
47C 08 3F3FFFF8FF1F0000  
34B 02 0000              
225 08 2108230000000000  
02F 08 01280B5E0020FF3F  
0B1 08 3C03800000FF4787  
0A3 08 46AD000000000000  
147 08 00003CFF004DF802  
098 08 F71D00000000207F  
094 08 620A81152A838704  
087 08 9E0E000000001038  
122 08 76BF030A7E000040  
02F 08 8B2A0B5E0020FF3F  
096 08 27AB811680300000  
0A1 08 6BAE000000000000  
0A3 08 F4AE000000000000  
02F 08 7A2B0B5E0020FF3F  
098 08 861E00000000207F  
307 08 1F0000000F020000  
03D 08 990100000000FFFF  
187 08 FFFF000000000000  
309 08 EC90639200000080  
096 08 CAAD811180300000  
0A1 08 89AF000000000000  
0A3 08 7DAF000000000000  
02F 08 082D0B5E0020FF3F  
098 08 4C1F00000000207F  
087 08 3200000000001038  
077 08 9B00B80BD007D407  
2CF 08 0200BEFF0C76F4ED  
02F 08 D72E0B5E0020FF3F  
0B1 08 8409800000FF4787  
0A3 08 77A0000000000000  
2FE 08 375DFFFD010D0000  
02F 08 262F0B5E0020FF3F  
098 08 281000000000207F  
087 08 EA01000000001038  
077 08 3801B80BD007D407  
02F 08 C3200B5E0020FF3F  
351 08 1090FC0F50151100  
307 08 1F0000000F020000  
0A3 08 4EA1000000000000  
22B 08 3700000000000000  
098 08 771100000000207F  
094 08 BC0281162A838704  
0B3 08 EF32000000070058  
2B9 08 3F0000FF4E810000  
02F 08 9D220B5E0020FF3F  
096 08 61A3811680300000  
0A1 08 90A2000000000000  
0A3 08 D2A2000000000000  
02F 08 8A230B5E0020FF3F  
098 08 751200000000207F  
094 08 CE0481152A838704  
077 08 5203B80BD007D407  
122 08 76BF030A7E000040  
02F 08 0C240B5E0020FF3F  
096 08 CDA5811680300000  
37F 08 430000E62200FFFF  
0A3 08 75A3000000000000  
02F 08 1B250B5E0020FF3F  
098 08 CC1300000000207F  
087 08 2304000000001038  
077 08 6004B80BD007D407  
02F 08 C1260B5E0020FF3F  
096 08 42A7811680300000  
3E8 08 FF08000001F87F00  
0A3 08 3BA4000000000000  
401 08 2F4639F3FF330300  
098 08 711400000000207F  
1E1 08 8A0700D30700803F  
087 08 FB05000000001038  
077 08 8D05B80BD007D407  
02F 08 01280B5E0020FF3F  
096 08 DFA9811180300000  
0A1 08 E2A5000000000000  
0A3 08 1CA5000000000000  
137 08 E4FF279A01000000  
098 08 CD1500000000207F  
094 08 9E0A81162A838704  
03D 08 9F0800000000FFFF  
000 08 FF000000000000C0  
02F 08 8B2A0B5E0020FF3F  
339 08 33009200C8000000  
0A1 08 6CA6000000000000  
0A3 08 95A6000000000000  
02F 08 7A2B0B5E0020FF3F  
098 08 CF1600000000207F  
087 08 6407000000001038  
34B 02 0000              
192 08 FFFF000000000000  
02F 08 1A2C0B5E0020FF3F  
0B1 08 BD07800000FF4787  
0A3 08 4AA7000000000000  
147 08 00003CFF004DF802  
02F 08 082D0B5E0020FF3F  
098 08 761700000000207F  
087 08 1008000000001038  
122 08 76BF030A7E000040  
02F 08 D72E0B5E0020FF3F  
096 08 A9AF811180300000  
1EE 08 40001F0000CCFFF0  
0A3 08 38A8000000000000  
02F 08 262F0B5E0020FF3F  
098 08 9A1800000000207F  
14D 08 000C000010000004  
087 08 C809000000001038  
141 08 C000300600000064  
31A 08 DFDC22CB03000000  
096 08 71A1811680300000  
0A1 08 3CA9000000000000  
0A3 08 79A9000000000000  
02F 08 D4210B5E0020FF3F  
098 08 C51900000000207F  
1E1 08 F00800330800803F  
077 08 6A0AB80BD007D407  
2CF 08 0200BEFF0C60F6ED  
02F 08 9D220B5E0020FF3F  
096 08 61A3811680300000  
37B 04 00000000          
46B 08 00083C28004E4C84  
02F 08 8A230B5E0020FF3F  
098 08 C71A00000000207F  
087 08 570B000000001038  
077 08 080BB80BD007D407  
000 08 FF000000000000C0  
339 08 33009200C8000000  
307 08 1F0000000F020000  
0A3 08 81AB000000000000  
22B 08 A002000000000000  
098 08 7E1B00000000207F  
094 08 CFE680142A838704  
087 08 010C000000001038  
077 08 010CB80BD007D407  
02F 08 C1260B5E0020FF3F  
096 08 C1A7811180300000  
0A1 08 37AC000000000000  
0A3 08 7FAC000000000000  
147 08 00003CFF004EF802  
098 08 C31C00000000207F  
094 08 95F880152A838704  
03D 08 210F00000000FFFF  
122 08 76BF030A7E000040  
02F 08 01280B5E0020FF3F  
096 08 DFA9811180300000  
000 08 0000000000000000  
328 08 FF3F000000000000  
02F 08 54290B5E0020FF3F  
098 08 F71D00000000207F  
087 08 9E0E000000001038  
077 08 090EB80BD007D407  
1E9 08 000000007DFC0006  
02F 08 E22A0B5EFF1FFF3F  
0B1 08 2705800000FF4787  
0A3 08 F4AE000000000000  
401 08 2F003BF3FF330300  
1F3 08 00FF000E00F000FF  
098 08 861E00000000207F  
087 08 5A0F000000001038  
077 08 970FB80BD007D407  
02F 08 1A2C0B5E0020FF3F  
096 08 CAAD811180300000  
0B1 08 BD07800000FF4787  
0A3 08 7DAF000000000000  
137 08 E4FF279A01000000  
098 08 4C1F00000000207F  
094 08 1BFE80152A838704  
087 08 3200000000001038  
077 08 9B00B80BD007D407  
02F 08 D72E0B5E0020FF3F  
339 08 33009200C8000000  
0A1 08 E7A0000000000000  
0A3 08 77A0000000000000  
495 08 1004FFFF00000000  
098 08 281000000000207F  
094 08 080081132A838704  
077 08 3801B80BD007D407  
192 08 FFFF000000000000  
02F 08 C3200B5E0020FF3F  
096 08 71A1811680300000  
0A1 08 BAA1000000000000  
0A3 08 4EA1000000000000  
02F 08 D4210B5E0020FF3F  
098 08 771100000000207F  
087 08 AD02000000001038  
122 08 76BF030A7E000040  
02F 08 9D220B5E0020FF3F  
096 08 E2A3811180300000  
1EE 08 A0001F0000CCFF00  
0A3 08 D2A2000000000000  
02F 08 8A230B5E0020FF3F  
098 08 751200000000207F  
14B 08 050062A08F1D0000  
087 08 7503000000001038  
077 08 5203B80BD007D407  
02F 08 0C240B5E0020FF3F  
096 08 4EA5811180300000  
0A1 08 2FA3000000000000  
0A3 08 75A3000000000000  
401 08 2FF83CF3FF330300  
098 08 CC1300000000207F  
1E1 08 740A00C80A00803F  
03D 08 BB0600000000FFFF  
151 08 0E14A1942080D60A  
02F 08 C1260B5E0020FF3F  
096 08 42A7811680300000  
0A1 08 73A4000000000000  
46B 08 00083C28004E4C84  
02F 08 D6270B5E0020FF3F  
098 08 711400000000207F  
087 08 FB05000000001038  
077 08 8D05B80BD007D407  
000 08 FF000000000000E0  
02F 08 68280B5EFF1FFF3F  
0B1 08 3C03800000FF4787  
0A3 08 1CA5000000000000  
22B 08 6104000000000000  
02F 08 54290B5E0020FF3F  
098 08 CD1500000000207F  
087 08 BC06000000001038  
077 08 E606B80BD007D407  
02F 08 8B2A0B5E0020FF3F  
096 08 27AB811680300000  
0B1 08 2705800000FF4787  
0A3 08 95A6000000000000  
147 08 00003CFF004DF802  
098 08 CF1600000000207F  
094 08 78FC80162A838704  
087 08 6407000000001038  
122 08 76BF030A7E000040  
02F 08 1A2C0B5E0020FF3F  
096 08 49AD811680300000  
0A1 08 A1A7000000000000  
0A3 08 4AA7000000000000  
02F 08 082D0B5E0020FF3F  
098 08 761700000000207F  
307 08 1F0000000F020000  
077 08 2708B80BD007D407  
1E9 08 000000007DFC0006  
02F 08 D72E0B5E0020FF3F  
096 08 A9AF811180300000  
0A1 08 38A8000000000000  
0A3 08 38A8000000000000  
02F 08 262F0B5E0020FF3F  
098 08 9A1800000000207F  
087 08 C809000000001038  
077 08 CC09B80BD007D407  
2CF 08 0200BEFF0CBAF9ED  
02F 08 C3200B5E0020FF3F  
0B1 08 8D0B800000FF4787  
0A3 08 79A9000000000000  
15A 08 51720000AAFF4100  
098 08 C51900000000207F  
094 08 400281152A838704  
087 08 8F0A000000001038  
077 08 6A0AB80BD007D407  
02F 08 9D220B5E0020FF3F  
339 08 33009200C8000000  
0A1 08 4AAA000000000000  
0A3 08 6EAA000000000000  
417 08 00000000FDFDFD00  
098 08 C71A00000000207F  
094 08 CE0481152A838704  
03D 08 D60D00000000FFFF  
192 08 FFFF000000000000  
02F 08 0C240B5E0020FF3F  
096 08 4EA5811180300000  
0A1 08 D1AB000000000000  
0A3 08 81AB000000000000  
02F 08 1B250B5E0020FF3F  
098 08 7E1B00000000207F  
087 08 010C000000001038  
122 08 76BF030A7E000040  
02F 08 C1260B5E0020FF3F  
096 08 C1A7811180300000  
0B1 08 8001800000FF4787  
0A3 08 7FAC000000000000  
02F 08 D6270B5E0020FF3F  
098 08 C31C00000000207F  
14B 08 050062A08F1D0000  
087 08 D90D000000001038  
077 08 840DB80BD007D407  
02F 08 01280B5E0020FF3F  
096 08 DFA9811180300000  
0B1 08 3C03800000FF4787  
0A3 08 46AD000000000000  
401 08 2F9C3EF3FF330300  
098 08 F71D00000000207F  
020 08 4FC60106C1000000  
087 08 9E0E000000001038  
077 08 090EB80BD007D407  
02F 08 8B2A0B5E0020FF3F  
096 08 27AB811680300000  
0A1 08 6BAE000000000000  
46B 08 00083C28004E4C84  
02F 08 7A2B0B5E0020FF3F  
098 08 861E00000000207F  
094 08 EC0C81152A838704  
077 08 970FB80BD007D407  
000 08 FF000000000000C0  
02F 08 1A2C0B5E0020FF3F  
351 08 1090FC0F00001100  
0A1 08 89AF000000000000  
33D 08 E800000000380010  
02F 08 082D0B5E0020FF3F  
098 08 4C1F00000000207F  
087 08 3200000000001038  
077 08 9B00B80BD007D407  
192 08 FFFF000000000000  
341 08 000001BF0F93297F  
0B1 08 8409800000FF4787  
0A3 08 77A0000000000000  
147 08 00003CFF004DF802  
098 08 281000000000207F  
14B 08 050062A08F1D0000  
087 08 EA01000000001038  
122 08 76BF030A7E000040  
02F 08 C3200B5E0020FF3F  
096 08 71A1811680300000  
0A1 08 BAA1000000000000  
337 04 D2000000          
02F 08 D4210B5E0020FF3F  
098 08 771100000000207F  
2F3 08 131C000000040000  
0B3 08 EF32000000070058  
187 08 FFFF000000000000  
31A 08 DFDC22CB03000000  
096 08 61A3811680300000  
0A1 08 90A2000000000000  
0A3 08 D2A2000000000000  
02F 08 8A230B5E0020FF3F  
098 08 751200000000207F  
14B 08 050062A08F1D0000  
077 08 5203B80BD007D407  
2CF 08 0200BEFF0CB0FBED  
02F 08 0C240B5E0020FF3F  
0B1 08 090F800000FF4787  
0A3 08 75A3000000000000  
15A 08 557A0000AAFF4100  
02F 08 1B250B5E0020FF3F  
098 08 CC1300000000207F  
087 08 2304000000001038  
077 08 6004B80BD007D407  
02F 08 C1260B5E0020FF3F  
339 08 33009200C8000000  
307 08 1F0000000F020000  
0A3 08 3BA4000000000000  
417 08 00000000FDFDFD00  
098 08 711400000000207F  
094 08 FD0881152A838704  
087 08 FB05000000001038  
34B 02 0000              
02F 08 01280B5E0020FF3F  
096 08 5CA9811680300000  
0A1 08 E2A5000000000000  
0A3 08 1CA5000000000000  
02F 08 54290B5E0020FF3F  
098 08 CD1500000000207F  
094 08 620A81152A838704  
077 08 E606B80BD007D407  
122 08 76BF030A7E000040  
02F 08 262A0B5E0120FF3F  
096 08 A4AB811180300000  
000 08 0000000000000000  
328 08 FF3F000000000000  
02F 08 7A2B0B5E0020FF3F  
098 08 CF1600000000207F  
087 08 6407000000001038  
077 08 6607B80BD007D407  
4A6 08 FFFF823000000000  
02F 08 1A2C0B5E0020FF3F  
0B1 08 BD07800000FF4787  
0A3 08 4AA7000000000000  
401 08 2FD230F3FF330300  
1F3 08 00FF000E00F000FF  
2F0 08 D20701FF12670600  
087 08 1008000000001038  
077 08 2708B80BD007D407  
02F 08 BE2E0B5EFF1FFF3F  
096 08 A9AF811180300000  
0A1 08 38A8000000000000  
46B 08 00083C28004E4C84  
137 08 E4FF279A01000000  
098 08 9A1800000000207F  
094 08 E3F080142A838704  
0B3 08 9739000000070058  
000 08 FF000000000000C0  
02F 08 C3200B5E0020FF3F  
351 08 1090FC0F50151100  
0A1 08 3CA9000000000000  
33D 08 4301000000380010  
02F 08 D4210B5E0020FF3F  
098 08 C51900000000207F  
094 08 28F280152A838704  
077 08 6A0AB80BD007D407  
38E 08 871C000000000000  
02F 08 9D220B5E0020FF3F  
0B1 08 700D800000FF4787  
0A3 08 6EAA000000000000  
147 08 00003CFF004DF802  
02F 08 8A230B5E0020FF3F  
098 08 C71A00000000207F  
087 08 570B000000001038  
122 08 76BF030A7E000040  
02F 08 0C240B5E0020FF3F  
096 08 CDA5811680300000  
1EE 08 00001F0000CCFF00  
0A3 08 81AB000000000000  
02F 08 1B250B5E0020FF3F  
098 08 7E1B00000000207F  
094 08 510681152A838704  
3CE 08 7601005900974200  
077 08 010CB80BD007D407  
02F 08 C1260B5E0020FF3F  
096 08 42A7811680300000  
0A1 08 37AC000000000000  
0A3 08 7FAC000000000000  
02F 08 D6270B5E0020FF3F  
098 08 C31C00000000207F  
14B 08 050062A08F1D0000  
077 08 840DB80BD007D407  
2CF 08 0200BEFF0C3DFDED  
02F 08 01280B5E0020FF3F  
096 08 5CA9811680300000  
0A1 08 1CAD000000000000  
0A3 08 46AD000000000000  
02F 08 54290B5E0020FF3F  
098 08 F71D00000000207F  
087 08 9E0E000000001038  
077 08 090EB80BD007D407  
000 08 FF000000000000E0  
02F 08 8B2A0B5E0020FF3F  
307 08 1F0000000F020000  
0A3 08 F4AE000000000000  
417 08 00000000FDFDFD00  
02F 08 7A2B0B5E0020FF3F  
098 08 861E00000000207F  
47C 08 3F3FFFF8FF1F0000  
34B 02 0000              
02F 08 1A2C0B5E0020FF3F  
096 08 49AD811680300000  
0A1 08 89AF000000000000  
0A3 08 7DAF000000000000  
147 08 08003CFF004EF802  
098 08 4C1F00000000207F  
094 08 1BFE80152A838704  
0B3 08 8530000000070058  
122 08 76BF030A7E000040  
02F 08 D72E0B5E0020FF3F  
096 08 2AAF811680300000  
0A1 08 E7A0000000000000  
0A3 08 77A0000000000000  
02F 08 262F0B5E0020FF3F  
098 08 281000000000207F  
469 08 0000000000000000  
077 08 3801B80BD007D407  
1E9 08 000000007DFC0006  
309 08 EC90639200000080  
0B1 08 8D0B800000FF4787  
0A3 08 4EA1000000000000  
401 08 2F3132F3FF330300  
1F3 08 00FF000E00F000FF  
098 08 771100000000207F  
087 08 AD02000000001038  
077 08 6B02B80BD007D407  
02F 08 9D220B5E0020FF3F  
096 08 61A3811680300000  
0B1 08 700D800000FF4787  
0A3 08 D2A2000000000000  
137 08 E4FF279A01000000  
098 08 751200000000207F  
068 01 02                
087 08 7503000000001038  
077 08 5203B80BD007D407  
02F 08 0C240B5E0020FF3F  
341 08 000001BF0F93007F  
0A1 08 2FA3000000000000  
33D 08 2F02000000380010  
22B 08 100A000000000000  
098 08 CC1300000000207F  
094 08 510681152A838704  
077 08 6004B80BD007D407  
192 08 FFFF000000000000  
02F 08 C1260B5E0020FF3F  
096 08 42A7811680300000  
0A1 08 73A4000000000000  
0A3 08 3BA4000000000000  
02F 08 D6270B5E0020FF3F  
098 08 711400000000207F  
087 08 FB05000000001038  
122 08 76BF030A7E000040  
02F 08 01280B5E0020FF3F  
096 08 5CA9811680300000  
1EE 08 00001F0000CCFF00  
0A3 08 1CA5000000000000  
02F 08 54290B5E0020FF3F  
098 08 CD1500000000207F  
14D 08 0014000018000004  
087 08 BC06000000001038  
077 08 E606B80BD007D407  
02F 08 8B2A0B5E0020FF3F  
096 08 27AB811680300000  
0A1 08 6CA6000000000000  
0A3 08 95A6000000000000  
401 08 2F0333F3FF330300  
098 08 CF1600000000207F  
094 08 B80C81142A838704  
0B3 08 F437000000070058  
151 08 0E14A19420806801  
02F 08 1A2C0B5E0020FF3F  
096 08 CAAD811180300000  
353 08 380803FCE0E09900  
0A3 08 4AA7000000000000  
02F 08 082D0B5E0020FF3F  
098 08 761700000000207F  
094 08 8F0E81162A838704  
077 08 2708B80BD007D407  
000 08 FF000000000000C0  
02F 08 D72E0B5E0020FF3F  
0B1 08 8409800000FF4787  
0A1 08 38A8000000000000  
22B 08 110B000000000000  
02F 08 262F0B5E0020FF3F  
098 08 9A1800000000207F  
357 08 70FF00FF00330000  
34B 02 0000              
225 08 B604230000000000  
02F 08 C3200B5E0020FF3F  
0B1 08 8D0B800000FF4787  
0A3 08 79A9000000000000  
147 08 08003CFF004DF802  
098 08 C51900000000207F  
094 08 7CF280142A838704  
087 08 8F0A000000001038  
122 08 76BF030A7E000040  
02F 08 30220B5E0120FF3F  
096 08 61A3811680300000  
49B 08 0700000000005500  
0A3 08 6EAA000000000000  
02F 08 8A230B5E0020FF3F  
098 08 C71A00000000207F  
307 08 1F0000000F020000  
077 08 080BB80BD007D407  
1E9 08 000000007DFC0006  
31A 08 DFDC22CB03000000  
096 08 4EA5811180300000  
0A1 08 D1AB000000000000  
0A3 08 81AB000000000000  
02F 08 1B250B5E0020FF3F  
098 08 7E1B00000000207F  
087 08 010C000000001038  
077 08 010CB80BD007D407  
2CF 08 0200BEFF0CE8F0ED  
02F 08 C1260B5E0020FF3F  
0B1 08 8001800000FF4787  
0A3 08 7FAC000000000000  
15A 08 557A0000AAFF5100  
02F 08 D6270B5E0020FF3F  
098 08 C31C00000000207F  
087 08 D90D000000001038  
077 08 840DB80BD007D407  
02F 08 01280B5E0020FF3F  
351 08 1090FC0F50151100  
0A1 08 1CAD000000000000  
0A3 08 46AD000000000000  
22B 08 440C000000000000  
098 08 F71D00000000207F  
094 08 FCEA80142A838704  
0B3 08 F93E000000070058  
2B9 08 3F0000FF4E810000  
02F 08 8B2A0B5E0020FF3F  
096 08 A4AB811180300000  
0A1 08 6BAE000000000000  
0A3 08 F4AE000000000000  
02F 08 7A2B0B5E0020FF3F  
098 08 861E00000000207F  
094 08 D0FC80142A838704  
122 08 76BF030A7E000040  
02F 08 1A2C0B5E0020FF3F  
0B1 08 3C03800000FF4787  
096 08 CAAD811180300000  
000 08 0000000000000000  
328 08 FF3F000000000000  
02F 08 A52D0B5E0120FF3F  
098 08 4C1F00000000207F  
087 08 3200000000001038  
077 08 9B00B80BD007D407  
02F 08 D72E0B5E0020FF3F  
096 08 2AAF811680300000  
3E8 08 FF08000001F87F00  
0A3 08 77A0000000000000  
401 08 2F7235F3FF330300  
098 08 281000000000207F  
020 08 B4CD0106C1000000  
087 08 EA01000000001038  
077 08 3801B80BD007D407  
02F 08 C3200B5E0020FF3F  
096 08 71A1811680300000  
0A1 08 BAA1000000000000  
0A3 08 4EA1000000000000  
137 08 E4FF279A01000000  
098 08 771100000000207F  
094 08 140281142A838704  
03D 08 260400000000FFFF  
000 08 FF000000000000C0  
02F 08 9D220B5E0020FF3F  
339 08 33009200C8000000  
0A1 08 90A2000000000000  
0A3 08 D2A2000000000000  
02F 08 8A230B5E0020FF3F  
098 08 751200000000207F  
087 08 7503000000001038  
34B 02 0000              
192 08 FFFF000000000000  
02F 08 0C240B5E0020FF3F  
0B1 08 090F800000FF4787  
0A3 08 75A3000000000000  
149 02 4C01              
02F 08 1B250B5E0020FF3F  
098 08 CC1300000000207F  
087 08 2304000000001038  
122 08 76BF030A7E000040  
02F 08 C1260B5E0020FF3F  
096 08 C1A7811180300000  
0A1 08 73A4000000000000  
0A3 08 3BA4000000000000  
02F 08 D6270B5E0020FF3F  
098 08 711400000000207F  
094 08 5F1881152A838704  
0B3 08 9E35000000070058  
141 08 C000300600000064  
02F 08 01280B5E0020FF3F  
096 08 5CA9811680300000  
0A1 08 E2A5000000000000  
0A3 08 1CA5000000000000  
02F 08 54290B5E0020FF3F  
